name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",Yes (15),12,0,3,1,12,0,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:52,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (37),26,0,11,2,27,0,13,2,Yes,No,Yes,Yes,Yes,2021-05-31 17:56,21
"BPS MEDICAL COLLEGE KHANPUR , SONIPAT ( 01263283088)","Ganaur - Gohana Rd, Khanpur Kalan, Haryana",Yes (223),110,77,36,36,170,80,50,50,Yes,Yes,Yes,Yes,Yes,2021-05-31 11:16,21
CHC GANUR,CHC GANUR,Yes (5),5,0,0,0,8,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 13:22,21
CHC Kharkhoda,"SH 20, Kharkhoda, Haryana 131402",Yes (9),4,5,0,0,5,5,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-31 13:25,21
"CHC, JUAN, SONIPAT, HARYANA","CHC, JUAN, SONIPAT, HARYANACHC, JUAN, SONIPAT, HARYANA, 131024",Yes (5),3,2,0,0,3,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-31 13:27,21
"Civil Hospital, Sonipat (9050007668 )","Delhi Road, Near Maharana Pratap Chowk, Sonipat, Haryana 131001",Yes (154),148,0,6,6,190,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-31 13:20,21
"CYGNUS HOSPITAL, Sonipat","Old Rohtak Rd, near Hindu College of Engineering, Industrial Area, Sonipat, Haryana 131001",Yes (15),15,0,0,0,18,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-31 18:33,21
Dayanand Hospital-Sonepat,"Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",Yes (20),18,0,2,0,20,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-31 16:53,21
FIIMS Hospital,"Road, Bahalgarh, Sonipat, Haryana 131304",Yes (76),55,0,21,0,63,0,37,8,Yes,No,Yes,Yes,Yes,2021-05-31 18:01,21
GAJRAJ HOSPITAL,"Bus Stand, Gajraj Hospital Road, Near, Gohana, Haryana 131301",Yes (20),20,0,0,0,20,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-30 09:42,21
HARYANA HOSPITAL,"Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana 131001",No (0),0,0,0,1,1,0,1,1,Yes,No,No,No,Yes,2021-05-31 16:46,21
MEMORIAL HOSPITAL,"SH 11, near Mama Bhanja Chowk, Nandwani Nagar, Anand Nagar,, Sonipat, Haryana 131001",Yes (12),12,0,0,2,16,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-31 17:33,21
NIDAAN HOSPITAL PVT.,"Murthal Rd, Sonipat, Haryana 131001",No (0),0,0,0,0,1,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-31 16:45,21
OSCAR HOSPITAL,"SH 11, Lakshmi Nagar, Sonipat, Haryana 131001",Yes (17),10,0,7,2,12,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-31 12:26,21
PHC PURKHAS,"Purkhas, Haryana 131102",Yes (30),0,30,0,0,0,30,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-31 13:25,21
